SHRIRAM CREDIT · LAMF · AD CONTENT MASTER FILE				
Loan Against Mutual Funds @ 10.5%* p.a. | Multi-Channel Ad Copy Workbook | Google · Meta Facebook · Microsoft Bing				
PRODUCT BRIEF				
3		Details	Field	Details
1	Product	Loan Against Mutual Funds (LAMF)	Brand	Shriram Credit	
2	Rate	10.5%* p.a. (only on amount utilized)	Regulated By	SEBI & RBI	
3	Max Loan	Up to ₹2 Cr*	Founded	1974 — 40+ years legacy	
4	Process	100% Digital · Fast Approval	Collateral	MF units lien-marked, NOT sold	
5	Core USP	Stay invested. Access funds.	No Tax	No capital gains tax event*	
🎯 TARGET AUDIENCE SEGMENTS				
	Segment	Intent / Trigger	Best Channels
1	Personal Loan Seekers	High-intent — searching for personal loan alternatives	Google Search · Bing		
2	Emergency Cash Need	Need urgent liquidity — medical, urgent expenses	Google Search · Meta		
3	Wedding / Life Events	Funding milestones without breaking investments	Meta · PMax · DemandGen		
4	Long-Term MF Investors	Existing MF holders wanting liquidity without redemption	Meta · DemandGen		
5	Low-Interest Loan Seekers	Rate-sensitive, comparing loan options	Google Search · Bing		
6	Wealth-Conscious Investors	Avoid capital gains / portfolio disruption	Meta · DemandGen		
📋 WORKBOOK NAVIGATION				
45		Purpose	Location
1	⚙️ Requirements	Define campaigns, themes, ad counts per channel/type	Tab 2		
2	🔍 Google Search	RSA headlines + descriptions + LIVE ad preview + 5 themes	Tab 3		
3	🔌 Ad Extensions	Sitelinks, callouts, snippets, image, promotion extensions	Tab 4		
4	📺 Display · PMax	Responsive Display + Performance Max all asset groups	Tab 5		
5	🌟 Demand Gen	Google Demand Gen / YouTube Discovery copy	Tab 6		
6	📘 Meta Facebook	FB + Instagram copy (feed/story) + LIVE preview simulation	Tab 7		
7	🔷 Microsoft Bing	Bing RSA copy — same RSA format as Google Search	Tab 8		
8	📐 Guidelines	Select channel + type → see char limits + best practices	Tab 9		
9	📝 Copy Bank	USPs, CTAs, power words, LAMF key phrases — reusable	Tab 10		
10	📊 Content Tracker	Assign copy, track status, manage review workflow	Tab 11		
11	💡 Samples & Ref	Competitor reference, sample ad formats, benchmarks	Tab 12		
* Subject to compliance review. All character limits per Google Ads / Meta Ads Manager specifications. Check official docs before going live.					
